name,description,instructions,ingredients,source
Pupuk Organik Kulit Pisang,"Kulit pisang memiliki banyak kandungan seperti magnesium, sodium, fosfor, dan sulfur yang dapat dimanfaatkan sebagai pupuk organik.","[“haluskan kulit pisang dengan cara diblender, atau bisa dengan cara mencincang kulit pisang tersebut hingga menjadi potongan kecil-kecil.”, “masukkan gula pasir kedalam botol plastik dengan perbandingan gula pasir”, “kulit pisang yang telah dihaluskan, kemudian dimasukkan ke dalam botol bekas yang telah berisi larutan gula pasir.”, “tambahkan air bersih kedalam botol hingga batas leher botol.”, “botol dapat ditutup dengan rapat dan didiamkan selama lebih dari 7-10 hari.”, “buka tutup botol setiap hari agar gas yang terkandung dalam botol dapat keluar.”, “Pupuk siap digunakan pada tanaman setelah didiamkan lebih dari 7 hari.”]","[‘Banana peels’, ‘Sugar’]",https://jpu.ubl.ac.id/index.php/jpu/article/download/20/20
Eco Enzyme,"Eco enzyme dapat berguna sebagai bahan untuk cairan pembersih rumah serbaguna, mulai dari membersihkan furnitur, piring, pakaian, hingga penyegar udara alami.","[“masukkan semua limbah sayuran atau buah, gula, dan air ke dalam wadah. Gunakan perbandingan 10:3:1, yakni 10 untuk air, 3 untuk limbah buah atau sayur, dan 1 untuk gula.”, “Aduk semua bahan, lalu tutup rapat dan dan biarkan selama 3 bulan.”, “Letakkan pada tempat dengan sirkulasi udara yang baik dan tidak terkena sinar matahari langsung.”, “Buka tutup wadah pada minggu pertama untuk mengeluarkan gas di dalamnya dan mencegah wadah meledak.”, “Kemudian, aduk setiap hari ke-7, hari ke-30, dan hari ke-90.”, “Setelah 3 bulan, eco enzyme bisa dipanen dan dapat digunakan.”]","[‘banana peels’, ‘orange peels’, ‘sugar’, ‘fresh orange’, ‘fresh apples’, ‘fresh bananas’, ‘fresh cucumbers’, ‘fresh potatoes’, ‘fresh tomatoes’]",https://www.cnnindonesia.com/gaya-hidup/20220930154324-289-854798/cara-membuat-eco-enzyme-cairan-serbaguna-beragam-manfaat
Kompos dari Kulit Telur,kandungan kalsium pada cangkang telur cukup tinggi dan dapat bermanfaat sebagai sumber nutrisi pada tanaman. Cangkang telur juga memiliki kandungan fosfor yang cukup yang dapat bermanfaat pula untuk tanaman.,"[“Bersihkan cangkang telur yang akan dibuat pupuk.”, “Sterilkan cangkang telur dengan memasukkan ke dalam air panas.”, “Keringkan cangkang telur dengan cara dijemur.”, “Tumbuk cangkang telur hingga menjadi serpihan halus.”, “Campurkan cangkang telur dengan air ke dalam botol bekas.”, “Tambahkan gula jawa dan EM4 dengan perbandingan 1:1 ke dalam botol.”, “Tutup botol bekas dan campurkan pupuk dengan cara mengocok botol.”, “Diamkan selama 10-14 hari untuk memaksimalkan proses fermentasi.”, “Bila perlu, sesekali buka tutup botol bekas supaya gas yang ditimbulkan selama proses fermentasi dapat keluar.”]","[‘egg shells’, ‘brown sugar’, ‘water’, ‘Probiotik EM4’]",https://pertanian.ngawikab.go.id/2023/05/15/sering-dikira-limbah-tidak-berguna-ini-manfaat-cangkang-telur-bagi-tanaman/
Bubuk Cangkang Telur,Konsumsi bubuk cangkang telur bersama vitamin D3 dan magnesium dapat memperkuat dan meningkatkan kepadatan tulang.,"[“Masukkan kulit telur ke dalam panci berisi air. Kemudian, rebus selama sekitar 15 menit. Ini akan mensterilkan kulit telur dan membuatnya aman untuk dimakan.”, ”Keringkan cangkang telur yang sudah di rebus.”, ” Selanjutnya, hancurkan cangkang telur dengan blender atau ditumbuk sampai benar-benar halus.”,  ”Setelah itu, tambahkan bubuk cangkang telur ke makanan atau minuman yang akan dikonsumsi.”, ” Bubuk cangkang telur dapat ditambahkan air atau jus. Makanan terbaik untuk ditambahkan bubuk tersebut adalah roti, spageti, pizza, dan daging goreng.”]","['egg shells' , 'water']",https://www.realsimple.com/can-you-eat-eggshells-7964902
Masker Wajah dari Kulit Telur,"Cangkang telur bisa bermanfaat untuk, membantu mengecilkan pori-pori, membuat kulit bercahaya, mencegah tanda-tanda penuaan, melembabkan kulit kering, mengobati iritasi kulit, membersihkan wajah secara menyeluruh, dan mencerahkan wajah","[”Cuci bersih kulit telur dengan air.”, “Masukkan kulit telur ke dalam loyang, kemudian panggang dengan suhu 200 F selama 10-15 menit.”, “Tumbuk kulit telur hingga halus.”, “Masukkan tepung terigu secukupnya ke dalam mangkuk kecil.”, “Tambahkan madu, dan saring kulit telur yang sudah ditumbuk, masukkan ke dalam mangkuk.”, “Aduh hingga semua bahan tercampur, dan masker siap dipakai”]","[’egg shells’, ’honey’, ’flour’]",https://inovasi.sragenkab.go.id/krenova/inovasi/mas-catur
Pencegahan tanaman busuk,"Cangkang telur juga dapat dimanfaatkan untuk mencegah pembusukan pada ujung bunga dari tanaman tomat, paprika, dan terong.","[“Cuci bersih dan keringkan cangkang telur.”, “Hancurkan hingga halus, dan masukkan ke lubang tanah sebelum anda menanam tanaman.”, “Setelah itu, letakkan cangkang telur ke sekitar pangkal tanaman setiap dua minggu sekali.”, “Kandungan kalsium yang terdapat dalam cangkang telur yang dapat diserap oleh tanaman dan membuatnya tidak mudah busuk.”]",['egg shells'],https://www.cnnindonesia.com/gaya-hidup/20221006111121-282-857030/7-manfaat-cangkang-telur-untuk-tanaman-bisa-mengusir-hama
Pisang matang susu coklat,,"[""Pisang di haluskan sampai tidak mengumpal, tambahkan semua bahan campur rata."", ""Siapkan cetakan olesi mentega masukan adonan lalu panggang api kecil / kukus juga boleh sesuai selera.""]","['8 bh pisang matang'. '1 sachet dancow coklat', '6 sdm tepung terigu', '2 sdm tepung maizena', '1 sdm gula pasir (diskip boleh krn pisang sudah manis', '1/2 sdt baking powder']",https://cookpad.com/id/resep/16830649-pisang-matang-susu-coklat
Ngolah pisang mateng 😅,,"[""Siapkan bahan yg dibutuhkan, lalu pertama lumatkan pisang pake garpu, sisihkan."", ""Larutkan gula pasir kedalam air, lalu campurkan dg lumatan pisang."", ""Siapkan wadah lbh besar u/ menguleni. Masukkan tepung ke dlm wadah bersama soda kue & baking soda jg vanili, lalu tambahkan (air gula+lumatan pisang) kedalamnya aduk hingga rata. Sembari panaskan dandang."", ""Kemudian tambahkan minyak lalu aduk lg hingga rata. Jika sudah masukkan adonan kedalam cetakan yg sudah dioles minyak tipis2. Setelah dandang panas adonan siap dikukus kurleb 25-30menit dg api sedang. Stelah matang, olahan pisang ambon matang siap dihidangkan.. Selamat mencoba""]","['2 buah Pisang Ambon yg Matang', '8 sdm Gula Pasir', '100 ml Air', '10 sdm Tepung Terigu', '1/2 sdm Baking Powder', '1/2 sdm Soda Kue', '1 sdt Vanili', '6 sdm Minyak Goreng']",https://cookpad.com/id/resep/16675051-ngolah-pisang-mateng
Olahan Pisang Terlalu Matang Simple,,"[""Kukus pisang kematengan"", ""Kupas lalu benyekin dan tambah tepung terigu secukupnya sampe bisa dibentuk sesuai selera"", ""Siapkan tepung panir dan adonan basah (tepung terigu + air), dan keju coklat opsional buat isian"", ""Bentukan pisang di tambahkan coklat dan keju di celupkan ke biang tepung atau adonan basah lalu di gulingkan ke tepung panir', ""Goreng pakai api sedang sampai golden brown"", ""Siap dinikmati""]","['Pisang', 'Tepung terigu', 'Tepung roti', 'Keju dan Coklat (Opsional)']",https://cookpad.com/id/resep/16522316-olahan-pisang-terlalu-matang-simple
Smoothies TimNas MatAng (Timun Nanas Tomat Pisang),,"[""Buat overnight oatmeal dari oatmeal instant n susu cair malam sebelumnya dan simpan di kulkas. (Bisa skip langkah ini jika tdk suka, jd susu lsg diblender dgn bahan lainnya)"", ""Timun dibuang kulitnya. Tomat direbus sebentar lalu buang kulitnya."", ""Masukkan semua bahan ke dlm Blender."", ""Blender smp halus. Tuang di gelas n tambahkan topping."", ""Smoothies sehat siap diminum. Karena ada Timun n Tomat smoothies ini wajib segera dihabiskan klo tidak akan terasa ada pahit pahitnya.""]","['50 gram Instant Oatmeal (Bisa skip jika tdk suka)','200 ml Susu Cair','1 bh Pisang Beku','200 gram Nanas Beku', '2 bh Tomat ukuran agak kecil', '2 bh Timun ukuran kecil', '2 bh Yakult', '60 ml Yogurt']",https://cookpad.com/id/resep/15973667-3-smoothies-timnas-matang-timun-nanas-tomat-pisang
Kue Pisang Kukus Memanfaatkan Pisang Matang,,"[""Masukkan semua bahan kecuali keju, aduk sampai rata"", ""Oleskan wadah dengan minyak dan tuangkan adonan ke wadah, beri toping keju"", ""Kukus sampai matang""]","['3 buah pisang matang, haluskan', '6 sdm terigu', '1 sdm susu bubuk', '2 adm gula pasir (tambahkan jika ingin lebih manis)', 'secukupnya Garam', 'secukupnya Pewarna hijau', '1 sdm minyak goreng', '1 sdt baking powder','1 buah telur', 'Keju secukupnya, potong-potong untuk toping']",https://cookpad.com/id/resep/15699186-kue-pisang-kukus-memanfaatkan-pisang-matang
Pisang matang kukus simple,,"[""Haluskan pisang dan ambil biji2nya,masukan bahan2 lainnya sambil diaduk2 rata.Bubuk coklat yg saya pakai enak gak pait dan warnanya nyoklat banget."", ""Sambil mengadon,panaskan kukusan magic com.Pindahkan adonan di loyang sambil dihentak2an agar udara keluar."", ""Setelah kukusan keluar uap masukkan loyang,kukus sekitar 30 menit atau hingga tidak lengket lagi."", ""Angkat dan keluarkan loyang,diamkan hingga dingin"", ""Potong2 dan sajikan bersama minuman hangat""]","['8 buah pisang matang', '4 sdm terigu', '2 sdm bubuk kedelai', '2 sdm gula halus', '2 sdm bubuk coklat', 'Sejumput garam', '1/2 sdt baking powder']",https://cookpad.com/id/resep/14633194-pisang-matang-kukus-simple
Godok2 pisang(pisang kelewat matang),,"[""Haluskan pisang sampai bener2 hancur"", ""Tambahan gula pasir, garam dan tepung, aduk hingga rata"", ""Goreng di minyak panas api kecil,,(sering dilihat supaya tidak gosong)"", ""Angkat dan Hidangkan, bisa dinikmati dengan teh hangat""]","['7 buah pisang matang', '6 sdm tepung terigu', '1 sdm tepung beras','2 sdm gula pasir','1/2 sdt garam', 'Secukupnya minyak untuk menggoreng']",https://cookpad.com/id/resep/13134666-godok2-pisangpisang-kelewat-matang
Pisang goreng tepung aroma (pisang yang sudah terlalu matang),,"[""Potong dadu kecil pisang. Apabila sudah terlali matang hancurkan pisang."", ""Taruh tepung di wadah kemudian campurkan air, garam, gula, telur, morison/vanili srcukupnya sampai berbau harum."", ""Campurkan pisang dengan adonan tepung yang sudah di campur air dan bahan lain."", ""Panaskan minyak goreng di wajan (pastikan posisi pisang nanti bisa tenggelam dalam minyak seluruhnya)"", ""Jangan terlalu tebal ataupun terlalu tipis dalam menggorengnya."", ""Goreng hingga warna kecoklatan. Apabila agak terlihat seperti gosong itu karena posisi pisang sudah terlalu matang. Tidak apa-apa. Sering di bolak balik.""]","['Air (secukupnya)', 'Pisang', '5 sdm tepung beras', '1 sdm tepung tapioka', '1 butir telur', 'Garam', 'Gula', 'Morison (perasa+pewarna makanan) / vanili cair']",https://cookpad.com/id/resep/12995871-pisang-goreng-tepung-aroma-pisang-yang-sudah-terlalu-matang
Olahan pisang matang,,"[""Olesi teflon tipis2 dgn margarin, lalu taburin gula pasir."", ""Potong2 pisang bentuk bulat2, dan tata d atas teflon yang sudah diberi gula tadi."", ""Masukan gula, garam dan telur, lalu kocok dgn whisk smpai gula larut dan berubah menjadi putih berbusa"", ""Masukan terigu sedikit2 sampai rata, masukan vanilla, minyak, dan baking powder (disaring). Aduk hingga rata."", ""Tuang di atas teflon yg sudah ditata pisang. Panggang d atas teflon dgn api kecil dan di tutup ya panggang nya. Selama 20 menit"", ""Tusuk dgn garpu utk tes kematangan nya, balik adonan panggang lg selama 3 menit."", ""Potong2 dan siap d sajikan""]","['2-3 buah pisang', '2 sdm gula pasir', 'secukupnya Margarin/mentega', '1 btr telur', 'Sejumput garam', '4 sdm gula pasir', '15 sdm terigu', '6 sdm minyak', '1 sdt baking powder', '1 sdt vanilla', '150 ml uht']",https://cookpad.com/id/resep/12864759-olahan-pisang-matang
Pisang bakar penyet simple (Solusi olahan pisang terlalu matang),,"[""Kupas pisang dan penyet2 agar pipih jangan sampai hancur"", ""Siapkan teflon lalu lelehkan mentega. Masukkan pisang dan panggang hingga coklat atau sesuai selera kalo suka yg gosong banget juga boleh "",""Tata dipiring lalu taburi seres atau keju dan siram dengan SKM secukupnya. Selamat menikmati buat cemilan atau sarapan mantul bgt ini.""]","['4 buah pisang kepok matang/kematengan', 'Secukupnya mentega', 'Secukupnya seres/keju', 'Secukupnya SKM']",https://cookpad.com/id/resep/9279832-pisang-bakar-penyet-simple-solusi-olahan-pisang-terlalu-matang
Pisang pangang (pisang raja mateng banget)teflon,,"[""Kupas pisang raja.pangang dengan api kecil, sebelum pangang olesi margarin ya. Pangang balik balik."", ""Sudah mulai coklat” angakat lalau taro dpiring saji. Taburi topping glanze saya rasa tiramisu, dgn topping kacang""]","['4 buah pisang raja', '1-3 sendok Margarin', 'Glanze topping']",https://cookpad.com/id/resep/4917170-pisang-pangang-pisang-raja-mateng-bangetteflon
Pisang Goreng ala Kopi Klotok,,"[""Kupas lalu iris pisang bentuk kipas. Campur semua bahan dalam mangkok (kecuali minyak goreng dan air) aduk² hingga menyatu."", ""Tambahkan air, aduk hingga menjadi adonan, kekentalan di sesuaikan. Setelah itu masukkan pisang, balut rata dengan adonan."", ""Panaskan minyak goreng lalu goreng pisang hingga kecoklatan, angkat dan sajikan hangat dengan teh/kopi ']","['8 buah pisang kepok', '4 sdm tepung terigu', '2 sdm tepung beras', '1 sdm tepung maizena', '1 butir telur', '1 sdm margarin', '3 sdm gula pasir (secukupnya)', '1/2 sdt baking powder', '1/2 sdt garam', 'Secukupnya air', 'Secukupnya minyak goreng']",https://cookpad.com/id/resep/17185091-pisang-goreng-ala-kopi-klotok
Es pisang hijau,,"[""Masukkan semua tepung, adon tambahkan gula, garam, aduk hingga bahan tercampur rata"", ""Tuang santan,air pandan kedalam adonan tepung tadi, aduk lagi hingga rata. Saring adonan agar tidak ada grindilan tepung."","" Masak adonan tadi menggunakan api kecil sampai membentuk adonan yang kalis tidak lengket. Sisihkan, tunggu hingga adonan tidak panas"",""Ambil selembar plastik, olesi menggunakan sedikit minyak, ambil adonan secukupnya pipihkan, letakkan pisang diatasnya, kemudian gulung adonan sampai menutupi permukaan pisang, lakukan sampai habis"","" Kukus pisang ijo selama kurang lebih 20 menit."",""Angkat dan tunggu dingin potong potong pisang hijau dengan pisau yang sudah dioles minyak makan agar tak lengket""]","['10 buah pisang raja / lilit yang telah di kukus', '250 gram tepung beras', '250 gram tepung terigu', '500 gram gula pasir', '1200 ml santan kental', '200 ml air daun pandan yang sudah di parut dan di ambil airnya di campur oleh air matang secukupnya', '2 sendok teh pasta pandan', 'secukupnya Garam', '100 gram gula pasir']",https://cookpad.com/id/resep/17171787-es-pisang-hijau
Bolu Pisang Panggang (3 Telur),,"[""Lumatkan pisang."", ""Masukkan garam dan gula pasir, aduk hingga gula larut."", ""Masukkan telur,satu persatu. Lalu aduk hingga rata. Sisihkan"", ""Di wadah lain, campur terigu,BP dan soda kue."", ""Tuang adonan pisang secara bertahap dan aduk hingga rata"", ""Masukkan margarin cair dan minyak goreng. Aduk perlahan dan ratakan hingga tidak ada endapan minyak di dasar adonan."", ""Tuang ke loyang yang sudah di oles Carlo. Beri toping sesuai selera"", ""Panggang suhu 180 C, api atas bawah selama 45 menit. Lakukan tes tusuk, jika sudah matang keluarkan dari oven. Potong bolu saat suhu bolu sudah dingin.""]","['400 gr pisang, baiknya gunakan pisang sangat matang', '250 gr gula pasir','3 butir telur', '1/2 sdt garam', '250 gr terigu', '1/2 sdt BP', '1/2 sdt soda kue', '75 gr margarin cair', '50 gr minyak goreng']",https://cookpad.com/id/resep/17188224-bolu-pisang-panggang-3-telur
